1	1 
2	5 
3	2 
4	2 
5	3 
6	4 
7	4 
8	5 
9	5 
10	2 
11	4 
12	3 
13	5 
14	2 
15	4 
16	5 
17	2 
18	3 
19	3 
20	5 
21	1 
22	4 
23	2 
24	3 
25	4 
26	4 
27	2 
28	4 
29	2 
30	2 
31	4 
32	1 
33	5 
34	1 
35	5 
36	4 
37	1 
38	4 
39	5 
40	2 
41	1 
42	4 
43	3 
44	3 
45	2 
46	5 
47	4 
48	3 
49	1 
50	5 
51	3 
52	3 
53	2 
54	2 
55	5 
56	4 
57	1 
58	1 
59	1 
60	1 
61	5 
62	1 
63	2 
64	3 
65	3 
66	5 
67	2 
68	3 
69	3 
70	4 
71	3 
72	3 
73	1 
74	5 
75	1 
76	1 
77	5 
78	1 
79	2 
80	5 
81	3 
82	1 
83	1 
84	5 
85	2 
86	2 
87	1 
88	1 
89	1 
90	1 
91	1 
92	1 
93	5 
94	5 
95	5 
96	5 
97	5 
98	5 
99	1 
100	5 
